,Unnamed: 0,Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Published Date,Maturity Rating,Description,Country,Retail Price,Currency
39,39,20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,0,0,5,4.08,Tor Books,Hardcover,472,2006,2023-01-20,2023-12-03,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
40,40,45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,1250304458,9781250304452,4,3.62,Celadon Books,Hardcover,337,2021,2023-02-08,2023-12-03,,,read,,,,1,0,2021-06-01,NOT_MATURE,*DELETE*,US,,
41,41,18162954,Galatea,Madeline Miller,"Miller, Madeline",,1408848147,0,4,3.93,Bloomsbury Paperbacks,Kindle Edition,27,2013,2023-02-27,2023-12-03,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
42,42,23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,0,0,5,4.4,Tor Books,Hardcover,512,2008,2023-03-18,2023-12-03,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
43,43,52578297,The Midnight Library,Matt Haig,"Haig, Matt",,0525559477,9780525559474,4,3.98,Viking,Hardcover,288,2020,2023-04-06,2023-12-03,,,read,,,,1,0,2020-09-29,NOT_MATURE,"The #1 New York Times bestselling WORLDWIDE phenomenon Winner of the Goodreads Choice Award for Fiction | A Good Morning America Book Club Pick | Independent (London) Ten Best Books of the Year ""A feel-good book guaranteed to lift your spirits.""—The Washington Post The dazzling reader-favorite about the choices that go into a life well lived, from the acclaimed author of How To Stop Time and The Comfort Book. Somewhere out beyond the edge of the universe there is a library that contains an infinite number of books, each one the story of another reality. One tells the story of your life as it is, along with another book for the other life you could have lived if you had made a different choice at any point in your life. While we all wonder how our lives might have been, what if you had the chance to go to the library and see for yourself? Would any of these other lives truly be better? In The Midnight Library, Matt Haig's enchanting blockbuster novel, Nora Seed finds herself faced with this decision. Faced with the possibility of changing her life for a new one, following a different career, undoing old breakups, realizing her dreams of becoming a glaciologist; she must search within herself as she travels through the Midnight Library to decide what is truly fulfilling in life, and what makes it worth living in the first place.",US,,
44,44,25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,0765377101,9780765377104,5,4.41,TOR,Hardcover,604,2010,2023-04-25,2023-12-03,,,read,,,,1,0,2016-09-20,NOT_MATURE,"Mutually assured destruction has led to decades of peace between humanity and the Trisolarans, but a new force is awakening and this delicate balance can no longer hold... Half a century after the Doomsday Battle, the uneasy balance of Dark Forest Deterrence keeps the Trisolaran invaders at bay. Earth enjoys unprecedented prosperity due to the infusion of Trisolaran knowledge. With human science advancing daily and the Trisolarans adopting Earth culture, it seems that the two civilizations will soon be able to co-exist peacefully as equals without the terrible threat of mutually assured annihilation. But the peace has also made humanity complacent. Cheng Xin, an aerospace engineer from the early twenty-first century, awakens from hibernation in this new age. She brings with her knowledge of a long-forgotten program dating from the beginning of the Trisolar Crisis, and her very presence may upset the delicate balance between two worlds. Will humanity reach for the stars or die in its cradle? Death's End is the New York Times bestselling conclusion to Cixin Liu's tour-de-force series that began with The Three-Body Problem. ""The War of the Worlds for the twenty-first century . . . Packed with a sense of wonder."" --The Wall Street Journal ""A meditation on technology, progress, morality, extinction, and knowledge that doubles as a cosmos- in-the-balance thriller."" --NPR The Remembrance of Earth's Past Trilogy The Three-Body Problem The Dark Forest Death's End Other Books Ball Lightning (forthcoming)",US,,
45,45,68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,0,9780765311788,5,4.49,Tor Books,Hardcover,541,2006,2023-05-15,2023-12-03,,,read,,,,2,0,2006-07-25,NOT_MATURE,"""What if the prophesied hero failed to defeat the Dark Lord?""--Jacket.",US,,
46,46,58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,0735243344,9780735243347,5,4.12,Knopf,Hardcover,416,2022,2023-06-03,2023-12-03,,,read,,,,1,0,2022-07-05,NOT_MATURE,"A NEW YORK TIMES BESTSELLER A JIMMY FALLON BOOK CLUB PICK In this exhilarating novel by the best-selling author of The Storied Life of A. J. Fikry two friends—often in love, but never lovers—come together as creative partners in the world of video game design, where success brings them fame, joy, tragedy, duplicity, and, ultimately, a kind of immortality. ""Utterly brilliant. In this sweeping, gorgeously written novel, Gabrielle Zevin charts the beauty, tenacity, and fragility of human love and creativity. Tomorrow, and Tomorrow, and Tomorrow is one of the best books I've ever read."" —John Green On a bitter cold day, in the December of his Junior Year at Harvard, Sam Masur exits a subway car and sees, amid the hordes of people waiting on the platform, Sadie Green. He calls her name. For a moment, she pretends she hasn’t heard him, but then, she turns, and a game begins: a legendary collaboration that will launch them to stardom. They borrow money, beg favors, and, before even graduating college, they have created their first blockbuster, Ichigo: a game where players can escape the confines of a body and the betrayals of a heart, and where death means nothing more than a chance to restart and play again. This is the story of the perfect worlds Sam and Sadie build, the imperfect world they live in, and of everything that comes after success: Money. Fame. Duplicity. Tragedy. Spanning over thirty years, from Cambridge, Massachusetts, to Venice Beach, California, and lands in between and far beyond, Gabrielle Zevin’s Tomorrow, and Tomorrow, and Tomorrow is a dazzling and intricately imagined novel that examines the multifarious nature of identity, games as artform, technology and the human experience, disability, failure, the redemptive possibilities in play, and above all, our need to connect: to be loved and to love. Yes, it is a love story, but it is not one you have read before.",US,,
47,47,68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,0765316889,9780765316882,5,4.38,Tor Books,Hardcover,590,2007,2023-06-22,2023-12-03,,,read,,,,1,0,2007-08-21,NOT_MATURE,"""All of these troubles whisper a single, chilling fact. Killing the Lord Ruler was the easy part. Surviving the aftermath of his fall is going to be the real challenge.""--BOOK JACKET.",US,,
48,48,2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,0765316897,9780765316899,5,4.56,Tor Books,Hardcover,572,2008,2023-07-11,2023-12-03,,,read,,,,1,0,2008-10-14,NOT_MATURE,"Emperor Elend Venture, having survived only to become a Mistborn himself, struggles to find clues by the Lord Ruler that will save his world, while a guilt-consumed Vin takes on a task of ending the cosmic power of the Ruin mystic force.",US,,
49,49,56783258,Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,1982168439,9781982168438,5,4.25,Scribner,Hardcover,626,2021,2023-07-30,2023-12-03,,,read,,,,1,0,2021-09-28,NOT_MATURE,"A ""novel about children on the cusp of adulthood in a broken world who find resilience, hope, and story ... [They] are trying to figure out the world around them, and to survive. In the besieged city of Constantinople in 1453, in a public library in Lakeport, Idaho, today, and on a spaceship bound for a distant exoplanet decades from now, an ancient text provides solace and the most profound human connection to characters in peril""--",US,,
50,50,60652997,"Hell Bent (Alex Stern, #2)",Leigh Bardugo,"Bardugo, Leigh",,1250313104,9781250313102,4,4.11,Flatiron Books,Hardcover,481,2023,2023-08-18,2023-12-03,,,read,,,,1,0,2023-01-10,NOT_MATURE,"""Alex Stern returns in #1 New York Times bestselling author Leigh Bardugo's Hell Bent, another tale of murder and dark magic set among the Ivy League elite. Galaxy ""Alex"" Stern is determined to break Darlington out of hell-even if it costs her a future at Lethe and at Yale. But Alex is playing with forces far beyond her control, and when faculty members begin to die off, she knows these aren't just accidents. Something deadly is at work in New Haven, and if Alex is going to survive, she'll have to reckon with the monsters of her past and a darkness built into the university's very walls""--",US,,
51,51,35133922,Educated,Tara Westover,"Westover, Tara",,0399590501,9780399590504,5,4.47,Random House,Hardcover,352,2018,2021-01-18,2023-12-04,,,read,,,,1,0,2018-02-20,NOT_MATURE,"#1 NEW YORK TIMES, WALL STREET JOURNAL, AND BOSTON GLOBE BESTSELLER • One of the most acclaimed books of our time: an unforgettable memoir about a young woman who, kept out of school, leaves her survivalist family and goes on to earn a PhD from Cambridge University “Extraordinary . . . an act of courage and self-invention.”—The New York Times NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE NEW YORK TIMES BOOK REVIEW • ONE OF PRESIDENT BARACK OBAMA’S FAVORITE BOOKS OF THE YEAR • BILL GATES’S HOLIDAY READING LIST • FINALIST: National Book Critics Circle’s Award In Autobiography and John Leonard Prize For Best First Book • PEN/Jean Stein Book Award • Los Angeles Times Book Prize Born to survivalists in the mountains of Idaho, Tara Westover was seventeen the first time she set foot in a classroom. Her family was so isolated from mainstream society that there was no one to ensure the children received an education, and no one to intervene when one of Tara’s older brothers became violent. When another brother got himself into college, Tara decided to try a new kind of life. Her quest for knowledge transformed her, taking her over oceans and across continents, to Harvard and to Cambridge University. Only then would she wonder if she’d traveled too far, if there was still a way home. “Beautiful and propulsive . . . Despite the singularity of [Westover’s] childhood, the questions her book poses are universal: How much of ourselves should we give to those we love? And how much must we betray them to grow up?”—Vogue ONE OF THE BEST BOOKS OF THE YEAR: The Washington Post, O: The Oprah Magazine, Time, NPR, Good Morning America, San Francisco Chronicle, The Guardian, The Economist, Financial Times, Newsday, New York Post, theSkimm, Refinery29, Bloomberg, Self, Real Simple, Town & Country, Bustle, Paste, Publishers Weekly, Library Journal, LibraryReads, Book Riot, Pamela Paul, KQED, New York Public Library",US,,
52,52,17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,0316055433,9780316055437,5,3.96,"Little, Brown",Hardcover,771,2013,2021-01-27,2023-12-04,,,read,,,,1,0,,,,,,
53,53,54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,0593135202,9780593135204,5,4.5,Ballantine Books,Hardcover,476,2021,2023-09-07,2023-12-04,,,read,,,,1,0,2021-05-04,NOT_MATURE,"THE #1 NEW YORK TIMES BESTSELLER FROM THE AUTHOR OF THE MARTIAN • Soon to be a major motion picture starring Ryan Gosling, directed by Phil Lord and Christopher Miller, with a screenplay by Drew Goddard From the author of The Martian, a lone astronaut must save the earth from disaster in this “propulsive” (Entertainment Weekly), cinematic thriller full of suspense, humor, and fascinating science. HUGO AWARD FINALIST • ONE OF THE YEAR’S BEST BOOKS: Bill Gates, GatesNotes, New York Public Library, Parade, Newsweek, Polygon, Shelf Awareness, She Reads, Kirkus Reviews, Library Journal • New York Times Readers Pick: 100 Best Books of the 21st Century “An epic story of redemption, discovery and cool speculative sci-fi.”—USA Today “If you loved The Martian, you’ll go crazy for Weir’s latest.”—The Washington Post Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish. Except that right now, he doesn’t know that. He can’t even remember his own name, let alone the nature of his assignment or how to complete it. All he knows is that he’s been asleep for a very, very long time. And he’s just been awakened to find himself millions of miles from home, with nothing but two corpses for company. His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it’s up to him to puzzle out an impossible scientific mystery—and conquer an extinction-level threat to our species. And with the clock ticking down and the nearest human being light-years away, he’s got to do it all alone. Or does he? An irresistible interstellar adventure as only Andy Weir could deliver, Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martian—while taking us to places it never dreamed of going.",US,,
54,54,61242426,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,"Baldree, Travis",,0,0,4,4.04,Tor,Kindle Edition,296,2022,2025-06-28,2023-12-10,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
55,55,61474080,"A Taste of Poison (Entangled with Fae, #4)",Tessonja Odette,"Odette, Tessonja",,0,0,4,3.91,Crystal Moon Press,Hardcover,412,2022,2025-08-21,2025-08-21,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
56,56,221733722,The Tenant,Freida McFadden,"McFadden, Freida",,1464227314,9781464227318,4,3.83,Poisoned Pen Press,Paperback,368,2025,,2025-09-06,,,read,,,,1,0,2025-01-01,NOT_MATURE,New from Poisoned Pen Press in 2025!,US,,
57,57,61126612,Alone With You in the Ether,Olivie Blake,"Blake, Olivie",,1250888166,9781250888167,4,3.78,Tor Books,Hardcover,288,2020,2025-09-06,2025-08-23,,,read,,,,1,0,2022-11-29,NOT_MATURE,"""From the New York Times bestselling author of The Atlas Six comes an intimate and contemporary study of time, space, and the nature of love. Alone with You in the Ether explores what it means to be unwell, and how to face the fractures of yourself and still love as if you're not broken. CHICAGO, SOMETIME-- Two people meet in the armory of the Art Institute by chance. Prior to their encounter, he is a doctoral student who manages his destructive thoughts with compulsive calculations about time travel; she is a bipolar counterfeit artist undergoing court-ordered psychotherapy. By the end of the story, these things will still be true. But this is not a story about endings. For Regan, life is a finish line of mutually assured disappointment. Her method of coping with the dreariness of existence is to project herself into imagined multipotency, spinning new threads of destiny with every impulsive decision she makes. For Aldo, life is a plague of constancy--a structure of rules and formulas that keep him going, without which the entire frame of his existence would collapse. For both of them, life is a matter of resigning themselves to the blueprints of inevitability, until six conversations with a stranger form the variable that glitches the entire simulation""--",US,,
58,58,54386622,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,0,0,4,4.16,Bloomsbury Publishing,Kindle Edition,433,2015,2025-10-10,2025-09-11,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
59,59,34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,0,0,5,4.34,Grand Central Publishing,Kindle Edition,496,2017,2024-05-17,2023-12-03,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
60,60,41886271,The Sword of Kaigen,M.L. Wang,"Wang, M.L.",,0,0,0,4.44,Amazon Digital Services,Kindle Edition,651,2019,,2025-08-30,to-read,to-read (#44),to-read,,,,0,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
